" "," ","Total DEYE","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
" PRD-EXTRUDING, FORMING, PRESSING, AND COMPACTING MACHINE SETTERS, OPERATORS, AND TENDERS", ,32267,775,31492,32267,30098.4,2866.93,971185900
" PRD-FURNACE, KILN, OVEN, DRIER, AND KETTLE OPERATORS AND TENDERS", ,16746,298,16448,16746,32291.8,3921.79,540758100
" PRD-INSPECTORS, TESTERS, SORTERS, SAMPLERS, AND WEIGHERS", ,999167,15604,983563,999167,34500.9,602.53,34472136660
" PRD-JEWELERS AND PRECIOUS STONE AND METAL WORKERS", ,53636,681,52955,53636,23325.4,2047.11,1251081710
" PRD-MEDICAL, DENTAL, AND OPHTHALMIC LABORATORY TECHNICIANS", ,105720,785,104935,105720,28805.5,1524.35,3045314850
" PRD-PACKAGING AND FILLING MACHINE OPERATORS AND TENDERS", ,353496,6838,346658,353496,19924.4,626.44,7043199100
" PRD-PAINTING WORKERS", ,184417,2891,181526,184417,29455.3,1247.39,5432066840
" PRD-PHOTOGRAPHIC PROCESS WORKERS AND PROCESSING MACHINE OPERATORS", ,37701,671,37030,37701,26782.8,2958.77,1009738380
" PRD-ADHESIVE BONDING MACHINE OPERATORS AND TENDERS", ,10772,317,10455,10772,24233.0,3952.57,261038300
" PRD-ETCHERS AND ENGRAVERS", ,12727,424,12303,12727,21913.7,3477.11,278896280
" PRD-MOLDERS, SHAPERS, AND CASTERS, EXCEPT METAL AND PLASTIC", ,37690,405,37285,37690,27755.7,2563.95,1046111700
" PRD-PAPER GOODS MACHINE SETTERS, OPERATORS, AND TENDERS", ,29726,597,29129,29726,28850.0,2802.20,857594780
" PRD-TIRE BUILDERS", ,16887,201,16686,16887,38975.5,4316.98,658179800
" PRD-HELPERS-PRODUCTION WORKERS", ,71120,1611,69509,71120,17984.8,1551.21,1279077870
" PRD-MISCELLANEOUS PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS", ,1620414,32580,1587834,1620414,28542.5,410.21,46250726590
" TRN-SUPERVISORS OF TRANSPORTATION AND MATERIAL MOVING WORKERS", ,253759,3569,250190,253759,44806.9,1420.82,11370151060
" TRN-AIRCRAFT PILOTS AND FLIGHT ENGINEERS", ,166495,668,165827,166495,107038.6,4402.48,17821384680
" TRN-AIR TRAFFIC CONTROLLERS AND AIRFIELD OPERATIONS SPECIALISTS", ,51179,184,50995,51179,74452.2,5364.16,3810386700
" TRN-FLIGHT ATTENDANTS", ,116255,1034,115221,116255,38985.8,1739.66,4532292620
" TRN-AMBULANCE DRIVERS AND ATTENDANTS, EXCEPT EMERGENCY MEDICAL TECHNICIANS", ,16914,179,16735,16914,21931.6,2820.42,370951540
" TRN-BUS DRIVERS", ,772066,8941,763125,772066,22476.6,481.37,17353434860
" TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS", ,4257191,64876,4192315,4257191,31838.0,294.32,135540539420
" TRN-TAXI DRIVERS AND CHAUFFEURS", ,526187,11754,514433,526187,17466.1,574.40,9190426370
" TRN-MOTOR VEHICLE OPERATORS, ALL OTHER", ,77832,1697,76135,77832,11969.2,918.59,931590160
" TRN-LOCOMOTIVE ENGINEERS AND OPERATORS", ,51244,1074,50170,51244,70658.7,4626.23,3620835750
" TRN-RAILROAD CONDUCTORS AND YARDMASTERS", ,66109,717,65392,66109,55472.1,3520.91,3667205280
" TRN-SUBWAY, STREETCAR, AND OTHER RAIL TRANSPORTATION WORKERS", ,24587,410,24177,24587,44642.2,4474.05,1097618970
" TRN-SAILORS AND MARINE OILERS, AND SHIP ENGINEERS", ,44705,734,43971,44705,42117.6,3434.48,1882866670
" TRN-SHIP AND BOAT CAPTAINS AND OPERATORS", ,60029,610,59419,60029,59330.2,4122.48,3561529960
" TRN-PARKING LOT ATTENDANTS", ,111633,1322,110311,111633,16359.6,1355.89,1826274380
" TRN-AUTOMOTIVE AND WATERCRAFT SERVICE ATTENDANTS", ,127460,2834,124626,127460,15233.8,854.55,1941699640
" TRN-TRANSPORTATION INSPECTORS", ,54537,1941,52596,54537,47222.3,3239.12,2575364880
" TRN-TRANSPORTATION ATTENDANTS, EXCEPT FLIGHT ATTENDANTS", ,44292,991,43301,44292,19798.1,2536.96,876895440
" TRN-MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE AND LOCK TENDERS AND TRAFFIC TECHNICIANS", ,37920,573,37347,37920,36233.3,4547.14,1373964880
" TRN-CRANE AND TOWER OPERATORS", ,69870,1121,68749,69870,54529.5,3216.80,3809979600
" TRN-DREDGE, EXCAVATING, AND LOADING MACHINE OPERATORS", ,43703,1417,42286,43703,29435.3,2345.64,1286409420
" TRN-CONVEYOR OPERATORS AND TENDERS, AND HOIST AND WINCH OPERATORS", ,17364,85,17279,17364,36807.8,4060.03,639130400
" TRN-INDUSTRIAL TRUCK AND TRACTOR OPERATORS", ,706311,12504,693807,706311,27009.2,554.91,19076912130
" TRN-CLEANERS OF VEHICLES AND EQUIPMENT", ,501530,12681,488849,501530,15399.6,451.68,7723366820
" TRN-LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND", ,3074518,61097,3013421,3074518,19586.6,231.24,60219308340
" TRN-MACHINE FEEDERS AND OFFBEARERS", ,39267,245,39022,39267,17685.7,1634.97,694464720
" TRN-PACKERS AND PACKAGERS, HAND", ,700608,17070,683538,700608,15303.1,391.26,10721459910
" TRN-PUMPING STATION OPERATORS", ,33745,1016,32729,33745,46409.8,4261.31,1566097500
" TRN-REFUSE AND RECYCLABLE MATERIAL COLLECTORS", ,135094,3536,131558,135094,20268.5,1120.95,2738149350
" TRN-MISCELLANEOUS MATERIAL MOVING WORKERS, INCLUDING MINE SHUTTLE CAR OPERATORS, AND TANK CAR, TRUCK, AND SHIP LOADERS", ,74610,2524,72086,74610,30598.8,2091.80,2282973170
" MIL-MILITARY OFFICER SPECIAL AND TACTICAL OPERATIONS LEADERS", ,49094,179,48915,49094,58631.2,4498.54,2878439200
" MIL-FIRST-LINE ENLISTED MILITARY SUPERVISORS", ,111018,2035,108983,111018,51594.2,2225.69,5727884900
" MIL-MILITARY ENLISTED TACTICAL OPERATIONS AND AIR/WEAPONS SPECIALISTS AND CREW MEMBERS", ,171519,836,170683,171519,24305.7,948.47,4168884480
" MIL-MILITARY, RANK NOT SPECIFIED **", ,274977,2746,272231,274977,40756.4,1256.43,11207080900
" UNEMPLOYED AND LAST WORKED 5 YEARS AGO OR EARLIER OR NEVER WORKED **", ,2133874,55055,2078819,2133874,0.0,0.00,0
Universe: All
Weight used: PWGTP
DataSet(s) selected: 2015
Source: ACS Public Use Microdata Sample
