" "," ","Total DPHY","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"TRN-TAXI DRIVERS AND CHAUFFEURS", ,526187,31979,494208,526187,17466.1,574.40,9190426370
"TRN-MOTOR VEHICLE OPERATORS, ALL OTHER", ,77832,7445,70387,77832,11969.2,918.59,931590160
"TRN-LOCOMOTIVE ENGINEERS AND OPERATORS", ,51244,1715,49529,51244,70658.7,4626.23,3620835750
"TRN-RAILROAD CONDUCTORS AND YARDMASTERS", ,66109,1697,64412,66109,55472.1,3520.91,3667205280
"TRN-SUBWAY, STREETCAR, AND OTHER RAIL TRANSPORTATION WORKERS", ,24587,1586,23001,24587,44642.2,4474.05,1097618970
"TRN-SAILORS AND MARINE OILERS, AND SHIP ENGINEERS", ,44705,1030,43675,44705,42117.6,3434.48,1882866670
"TRN-SHIP AND BOAT CAPTAINS AND OPERATORS", ,60029,1587,58442,60029,59330.2,4122.48,3561529960
"TRN-PARKING LOT ATTENDANTS", ,111633,3051,108582,111633,16359.6,1355.89,1826274380
"TRN-AUTOMOTIVE AND WATERCRAFT SERVICE ATTENDANTS", ,127460,5663,121797,127460,15233.8,854.55,1941699640
"TRN-TRANSPORTATION INSPECTORS", ,54537,2726,51811,54537,47222.3,3239.12,2575364880
"TRN-TRANSPORTATION ATTENDANTS, EXCEPT FLIGHT ATTENDANTS", ,44292,3528,40764,44292,19798.1,2536.96,876895440
"TRN-MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE AND LOCK TENDERS AND TRAFFIC TECHNICIANS", ,37920,1487,36433,37920,36233.3,4547.14,1373964880
"TRN-CRANE AND TOWER OPERATORS", ,69870,2403,67467,69870,54529.5,3216.80,3809979600
"TRN-DREDGE, EXCAVATING, AND LOADING MACHINE OPERATORS", ,43703,1775,41928,43703,29435.3,2345.64,1286409420
"TRN-CONVEYOR OPERATORS AND TENDERS, AND HOIST AND WINCH OPERATORS", ,17364,236,17128,17364,36807.8,4060.03,639130400
"TRN-INDUSTRIAL TRUCK AND TRACTOR OPERATORS", ,706311,25802,680509,706311,27009.2,554.91,19076912130
"TRN-CLEANERS OF VEHICLES AND EQUIPMENT", ,501530,19158,482372,501530,15399.6,451.68,7723366820
"TRN-LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND", ,3074518,105244,2969274,3074518,19586.6,231.24,60219308340
"TRN-MACHINE FEEDERS AND OFFBEARERS", ,39267,2659,36608,39267,17685.7,1634.97,694464720
"TRN-PACKERS AND PACKAGERS, HAND", ,700608,33063,667545,700608,15303.1,391.26,10721459910
"TRN-PUMPING STATION OPERATORS", ,33745,1554,32191,33745,46409.8,4261.31,1566097500
"TRN-REFUSE AND RECYCLABLE MATERIAL COLLECTORS", ,135094,7401,127693,135094,20268.5,1120.95,2738149350
"TRN-MISCELLANEOUS MATERIAL MOVING WORKERS, INCLUDING MINE SHUTTLE CAR OPERATORS, AND TANK CAR, TRUCK, AND SHIP LOADERS", ,74610,3586,71024,74610,30598.8,2091.80,2282973170
"MIL-MILITARY OFFICER SPECIAL AND TACTICAL OPERATIONS LEADERS", ,49094,962,48132,49094,58631.2,4498.54,2878439200
"MIL-FIRST-LINE ENLISTED MILITARY SUPERVISORS", ,111018,5332,105686,111018,51594.2,2225.69,5727884900
"MIL-MILITARY ENLISTED TACTICAL OPERATIONS AND AIR/WEAPONS SPECIALISTS AND CREW MEMBERS", ,171519,2314,169205,171519,24305.7,948.47,4168884480
"MIL-MILITARY, RANK NOT SPECIFIED **", ,274977,6419,268558,274977,40756.4,1256.43,11207080900
"UNEMPLOYED AND LAST WORKED 5 YEARS AGO OR EARLIER OR NEVER WORKED **", ,2133874,108854,2025020,2133874,0.0,0.00,0
Universe: (DPHY in (1,2))
Weight used: PWGTP
DataSet(s) selected: 2015
Source: ACS Public Use Microdata Sample
